date,GBP
2013-07-25,0.8637
2013-07-26,0.86105
2013-07-29,0.8634
2013-07-30,0.86735
2013-07-31,0.8735
2013-08-01,0.8692
2013-08-02,0.87135
2013-08-05,0.86425
2013-08-06,0.86575
2013-08-07,0.85955
2013-08-08,0.862
2013-08-09,0.86135
2013-08-12,0.8586
2013-08-13,0.85955
2013-08-14,0.8544
2013-08-15,0.8533
2013-08-16,0.85325
2013-08-19,0.8529
2013-08-20,0.8549
2013-08-21,0.85295
2013-08-22,0.85505
2013-08-23,0.8591
2013-08-26,0.8585
2013-08-27,0.8609
2013-08-28,0.8632
2013-08-29,0.8549
2013-08-30,0.85395
2013-09-02,0.84775
2013-09-03,0.8473
2013-09-04,0.8438
2013-09-05,0.8431
2013-09-06,0.842
2013-09-09,0.8413
2013-09-10,0.8438
2013-09-11,0.8414
2013-09-12,0.841
2013-09-13,0.8399
2013-09-16,0.8385
2013-09-17,0.8397
2013-09-18,0.8358
2013-09-19,0.842
2013-09-20,0.8436
2013-09-23,0.84115
2013-09-24,0.84431
2013-09-25,0.84165
2013-09-26,0.8418
2013-09-27,0.84
2013-09-30,0.83605
2013-10-01,0.8345
2013-10-02,0.8341
2013-10-03,0.8394
2013-10-04,0.8469
2013-10-07,0.8437
2013-10-08,0.84265
2013-10-09,0.8464
2013-10-10,0.8481
2013-10-11,0.849
2013-10-14,0.8483
2013-10-15,0.84635
2013-10-16,0.8459
2013-10-17,0.8476
2013-10-18,0.84515
2013-10-21,0.8465
2013-10-22,0.8476
2013-10-23,0.8516
2013-10-24,0.8537
2013-10-25,0.8519
2013-10-28,0.8534
2013-10-29,0.8567
2013-10-30,0.8559
2013-10-31,0.8502
2013-11-01,0.84635
2013-11-04,0.8456
2013-11-05,0.8403
2013-11-06,0.8403
2013-11-07,0.8321
2013-11-08,0.83525
2013-11-11,0.8381
2013-11-12,0.8447
2013-11-13,0.8399
2013-11-14,0.83715
2013-11-15,0.8377
2013-11-18,0.8388
2013-11-19,0.8385
2013-11-20,0.83765
2013-11-21,0.835
2013-11-22,0.8344
2013-11-25,0.8348
2013-11-26,0.8383
2013-11-27,0.83405
2013-11-28,0.83215
2013-11-29,0.83275
2013-12-02,0.82605
2013-12-03,0.8271
2013-12-04,0.83
2013-12-05,0.8313
2013-12-06,0.8358
2013-12-09,0.83765
2013-12-10,0.83645
2013-12-11,0.84025
2013-12-12,0.8397
2013-12-13,0.8437
2013-12-16,0.84385
2013-12-17,0.8456
2013-12-18,0.8401
2013-12-19,0.8349
2013-12-20,0.8348
2013-12-23,0.8377
2013-12-24,0.83603
2013-12-27,0.83665
2013-12-30,0.8364
2013-12-31,0.8337
2014-01-02,0.8282
2014-01-03,0.83045
2014-01-06,0.8303
2014-01-07,0.83115
2014-01-08,0.8277
2014-01-09,0.82575
2014-01-10,0.828
2014-01-13,0.8317
2014-01-14,0.83145
2014-01-15,0.8302
2014-01-16,0.83215
2014-01-17,0.8262
2014-01-20,0.8262
2014-01-21,0.8239
2014-01-22,0.819
2014-01-23,0.82175
2014-01-24,0.8291
2014-01-27,0.82505
2014-01-28,0.82285
2014-01-29,0.8221
2014-01-30,0.8238
2014-01-31,0.82135
2014-02-03,0.8259
2014-02-04,0.82905
2014-02-05,0.8322
2014-02-06,0.82875
2014-02-07,0.8314
2014-02-10,0.8316
2014-02-11,0.83075
2014-02-12,0.8216
2014-02-13,0.8215
2014-02-14,0.82035
2014-02-17,0.81885
2014-02-18,0.8233
2014-02-19,0.8251
2014-02-20,0.822
2014-02-21,0.82183
2014-02-24,0.82465
2014-02-25,0.82395
2014-02-26,0.8226
2014-02-27,0.82035
2014-02-28,0.82625
2014-03-03,0.82305
2014-03-04,0.8246
2014-03-05,0.8217
2014-03-06,0.8234
2014-03-07,0.8285
2014-03-10,0.8338
2014-03-11,0.8336
2014-03-12,0.8359
2014-03-13,0.83545
2014-03-14,0.83665
2014-03-17,0.83675
2014-03-18,0.8383
2014-03-19,0.8368
2014-03-20,0.83455
2014-03-21,0.8357
2014-03-24,0.8354
2014-03-25,0.8348
2014-03-26,0.8336
2014-03-27,0.8277
2014-03-28,0.8272
2014-03-31,0.8282
2014-04-01,0.8292
2014-04-02,0.828
2014-04-03,0.8297
2014-04-04,0.8267
2014-04-07,0.8271
2014-04-08,0.8242
2014-04-09,0.82375
2014-04-10,0.8272
2014-04-11,0.8291
2014-04-14,0.8274
2014-04-15,0.8251
2014-04-16,0.8239
2014-04-17,0.8243
2014-04-22,0.8205
2014-04-23,0.8239
2014-04-24,0.823
2014-04-25,0.82285
2014-04-28,0.8228
2014-04-29,0.8222
2014-04-30,0.823
2014-05-02,0.8214
2014-05-05,0.82293
2014-05-06,0.82115
2014-05-07,0.8207
2014-05-08,0.8233
2014-05-09,0.81725
2014-05-12,0.81515
2014-05-13,0.81395
2014-05-14,0.8177
2014-05-15,0.8152
2014-05-16,0.8148
2014-05-19,0.8146
2014-05-20,0.814
2014-05-21,0.8094
2014-05-22,0.8104
2014-05-23,0.80935
2014-05-26,0.8099
2014-05-27,0.811
2014-05-28,0.8125
2014-05-29,0.8145
2014-05-30,0.8131
2014-06-02,0.8129
2014-06-03,0.8147
2014-06-04,0.813
2014-06-05,0.8103
2014-06-06,0.8108
2014-06-09,0.80985
2014-06-10,0.8075
2014-06-11,0.807
2014-06-12,0.8039
2014-06-13,0.7979
2014-06-16,0.7974
2014-06-17,0.7994
2014-06-18,0.8005
2014-06-19,0.79985
2014-06-20,0.7975
2014-06-23,0.7994
2014-06-24,0.8015
2014-06-25,0.80225
2014-06-26,0.7991
2014-06-27,0.79965
2014-06-30,0.8015
2014-07-01,0.7981
2014-07-02,0.7958
2014-07-03,0.7965
2014-07-04,0.7926
2014-07-07,0.79385
2014-07-08,0.79385
2014-07-09,0.79555
2014-07-10,0.79505
2014-07-11,0.7941
2014-07-14,0.7966
2014-07-15,0.7931
2014-07-16,0.7903
2014-07-17,0.7909
2014-07-18,0.79155
2014-07-21,0.7915
2014-07-22,0.7905
2014-07-23,0.7908
2014-07-24,0.79215
2014-07-25,0.79115
